R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Nate Landwehr;Julian Erosa;0;1;9 of 14;15 of 23;64%;65%;9 of 14;17 of 25;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:01;5 of 9;11 of 18;1 of 1;2 of 3;3 of 4;2 of 2;6 of 11;12 of 17;3 of 3;2 of 5;0 of 0;1 of 1;KO/TKO;1;0:56;3 Rnd (5-5-5);Mark Smith;February 20, 2021;Las Vegas, Nevada, USA;Featherweight Bout;Julian Erosa
Shana Dobson;Casey O'Neill;0;0;16 of 28;49 of 68;57%;72%;27 of 42;132 of 183;0 of 0;4 of 6;---;66%;0;1;1;0;0:13;7:26;9 of 21;44 of 62;5 of 5;3 of 4;2 of 2;2 of 2;11 of 20;17 of 24;3 of 4;1 of 1;2 of 4;31 of 43;KO/TKO;2;3:41;3 Rnd (5-5-5);Chris Tognoni;February 20, 2021;Las Vegas, Nevada, USA;Women's Flyweight Bout;Casey O'Neill
Maycee Barber;Alexa Grasso;0;0;40 of 152;38 of 81;26%;46%;50 of 165;95 of 162;3 of 5;0 of 0;60%;---;0;1;0;1;3:14;5:10;23 of 130;24 of 57;14 of 18;9 of 14;3 of 4;5 of 10;18 of 119;25 of 61;20 of 31;13 of 20;2 of 2;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 13, 2021;Las Vegas, Nevada, USA;Women's Flyweight Bout;Alexa Grasso
Belal Muhammad;Dhiego Lima;0;0;129 of 264;69 of 203;48%;33%;136 of 284;70 of 206;1 of 10;0 of 1;10%;0%;0;0;0;0;2:42;0:00;109 of 232;26 of 156;20 of 31;17 of 19;0 of 1;26 of 28;118 of 248;69 of 203;11 of 16;0 of 0;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;February 13, 2021;Las Vegas, Nevada, USA;Welterweight Bout;Belal Muhammad
Maki Pitolo;Julian Marquez;0;0;32 of 65;41 of 100;49%;41%;70 of 110;61 of 129;5 of 11;0 of 1;45%;0%;1;4;1;1;9:07;1:54;16 of 46;37 of 94;12 of 14;3 of 4;4 of 5;1 of 2;22 of 52;18 of 72;7 of 8;15 of 16;3 of 5;8 of 12;Submission;3;4:17;3 Rnd (5-5-5);Mark Smith;February 13, 2021;Las Vegas, Nevada, USA;Middleweight Bout;Julian Marquez
Kamaru Usman;Gilbert Burns;2;0;83 of 136;45 of 108;61%;41%;93 of 149;55 of 124;0 of 0;0 of 3;---;0%;0;0;0;0;2:05;0:00;56 of 105;18 of 75;11 of 15;13 of 14;16 of 16;14 of 19;54 of 100;44 of 104;3 of 4;1 of 4;26 of 32;0 of 0;KO/TKO;3;0:34;5 Rnd (5-5-5-5-5);Herb Dean;February 13, 2021;Las Vegas, Nevada, USA;UFC Welterweight Title Bout;Kamaru Usman
Ricky Simon;Brian Kelleher;0;0;45 of 98;19 of 73;45%;26%;72 of 136;25 of 83;6 of 9;0 of 0;66%;---;1;0;0;0;8:14;0:12;25 of 73;7 of 56;3 of 4;4 of 8;17 of 21;8 of 9;29 of 74;18 of 72;6 of 9;1 of 1;10 of 15;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 13, 2021;Las Vegas, Nevada, USA;Featherweight Bout;Ricky Simon
Kelvin Gastelum;Ian Heinisch;0;0;38 of 84;27 of 67;45%;40%;51 of 115;56 of 107;6 of 14;1 of 6;42%;16%;0;2;1;1;6:50;1:11;20 of 62;10 of 42;10 of 13;6 of 11;8 of 9;11 of 14;28 of 69;26 of 64;8 of 11;0 of 0;2 of 4;1 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;February 13, 2021;Las Vegas, Nevada, USA;Middleweight Bout;Kelvin Gastelum
Polyana Viana;Mallory Martin;0;0;4 of 16;5 of 7;25%;71%;71 of 89;14 of 19;0 of 0;1 of 1;---;100%;5;0;0;0;0:18;2:25;0 of 12;1 of 3;3 of 3;4 of 4;1 of 1;0 of 0;4 of 16;5 of 7;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;3:18;3 Rnd (5-5-5);Mark Smith;February 13, 2021;Las Vegas, Nevada, USA;Women's Strawweight Bout;Polyana Viana
Rodolfo Vieira;Anthony Hernandez;0;0;9 of 26;32 of 50;34%;64%;14 of 32;50 of 73;4 of 10;0 of 0;40%;---;0;2;0;1;4:00;1:25;9 of 26;28 of 45;0 of 0;4 of 5;0 of 0;0 of 0;7 of 21;28 of 46;2 of 2;4 of 4;0 of 3;0 of 0;Submission;2;1:53;3 Rnd (5-5-5);Keith Peterson;February 13, 2021;Las Vegas, Nevada, USA;Middleweight Bout;Anthony Hernandez
Gabe Green;Philip Rowe;2;0;70 of 152;42 of 86;46%;48%;128 of 213;48 of 93;2 of 2;2 of 6;100%;33%;1;0;0;2;3:13;5:43;36 of 112;25 of 67;15 of 20;8 of 10;19 of 20;9 of 9;51 of 126;40 of 84;4 of 7;1 of 1;15 of 19;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;February 13, 2021;Las Vegas, Nevada, USA;Welterweight Bout;Gabe Green
Andre Ewell;Chris Gutierrez;0;1;59 of 120;69 of 126;49%;54%;62 of 124;72 of 131;1 of 1;1 of 1;100%;100%;1;0;0;0;0:09;1:11;15 of 56;23 of 59;28 of 40;14 of 21;16 of 24;32 of 46;59 of 119;61 of 116;0 of 0;8 of 10;0 of 1;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 13, 2021;Las Vegas, Nevada, USA;Catch Weight Bout;Chris Gutierrez
Alexandre Pantoja;Manel Kape;0;0;74 of 149;49 of 91;49%;53%;77 of 152;51 of 94;0 of 1;2 of 7;0%;28%;0;0;0;0;0:24;0:25;27 of 83;36 of 76;26 of 38;8 of 8;21 of 28;5 of 7;72 of 146;49 of 91;1 of 1;0 of 0;1 of 2;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 06, 2021;Las Vegas, Nevada, USA;Flyweight Bout;Alexandre Pantoja
Karol Rosa;Joselyne Edwards;0;0;57 of 84;38 of 59;67%;64%;135 of 175;70 of 97;4 of 6;1 of 3;66%;33%;0;0;0;1;11:13;0:02;33 of 55;22 of 36;9 of 10;4 of 8;15 of 19;12 of 15;27 of 46;31 of 51;11 of 14;3 of 3;19 of 24;4 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;February 06, 2021;Las Vegas, Nevada, USA;Women's Bantamweight Bout;Karol Rosa
Devonte Smith;Justin Jaynes;0;0;34 of 65;11 of 27;52%;40%;46 of 78;19 of 35;1 of 1;0 of 2;100%;0%;1;0;0;1;3:08;0:12;25 of 54;6 of 21;5 of 7;3 of 4;4 of 4;2 of 2;21 of 45;10 of 26;5 of 8;0 of 0;8 of 12;1 of 1;TKO - Doctor's Stoppage;2;3:38;3 Rnd (5-5-5);Keith Peterson;February 06, 2021;Las Vegas, Nevada, USA;Catch Weight Bout;Devonte Smith
Michael Johnson;Clay Guida;0;0;58 of 126;49 of 89;46%;55%;70 of 138;65 of 107;0 of 0;3 of 7;---;42%;0;1;0;0;3:03;6:53;52 of 113;31 of 71;5 of 12;12 of 12;1 of 1;6 of 6;47 of 115;32 of 72;6 of 6;14 of 14;5 of 5;3 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;February 06, 2021;Las Vegas, Nevada, USA;Lightweight Bout;Clay Guida
Alistair Overeem;Alexander Volkov;0;1;10 of 20;54 of 88;50%;61%;10 of 20;54 of 88;0 of 1;0 of 0;0%;---;0;0;0;0;0:15;0:11;3 of 13;47 of 81;2 of 2;3 of 3;5 of 5;4 of 4;10 of 20;40 of 65;0 of 0;11 of 18;0 of 0;3 of 5;KO/TKO;2;2:06;5 Rnd (5-5-5-5-5);Jason Herzog;February 06, 2021;Las Vegas, Nevada, USA;Heavyweight Bout;Alexander Volkov
Diego Ferreira;Beneil Dariush;0;0;54 of 121;62 of 116;44%;53%;74 of 145;74 of 132;0 of 1;5 of 15;0%;33%;0;0;1;0;0:58;7:23;43 of 104;46 of 98;10 of 15;10 of 12;1 of 2;6 of 6;45 of 109;51 of 93;5 of 5;3 of 5;4 of 7;8 of 18;Decision - Split;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 06, 2021;Las Vegas, Nevada, USA;Lightweight Bout;Beneil Dariush
Cory Sandhagen;Frankie Edgar;1;0;2 of 5;2 of 3;40%;66%;2 of 5;2 of 3;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;1 of 3;1 of 2;0 of 0;0 of 0;1 of 2;1 of 1;2 of 5;2 of 3;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;0:28;3 Rnd (5-5-5);Keith Peterson;February 06, 2021;Las Vegas, Nevada, USA;Bantamweight Bout;Cory Sandhagen
Mike Rodriguez;Danilo Marques;0;0;16 of 24;29 of 29;66%;100%;34 of 43;55 of 58;0 of 0;4 of 7;---;57%;0;2;0;0;0:04;7:39;3 of 7;27 of 27;5 of 6;2 of 2;8 of 11;0 of 0;11 of 19;2 of 2;5 of 5;0 of 0;0 of 0;27 of 27;Submission;2;4:52;3 Rnd (5-5-5);Jason Herzog;February 06, 2021;Las Vegas, Nevada, USA;Light Heavyweight Bout;Danilo Marques
Ode Osbourne;Jerome Rivera;1;0;5 of 6;2 of 3;83%;66%;5 of 6;2 of 3;0 of 0;0 of 0;---;---;0;0;0;0;0:02;0:00;5 of 6;0 of 1;0 of 0;1 of 1;0 of 0;1 of 1;1 of 1;2 of 3;0 of 0;0 of 0;4 of 5;0 of 0;KO/TKO;1;0:26;3 Rnd (5-5-5);Chris Tognoni;February 06, 2021;Las Vegas, Nevada, USA;Featherweight Bout;Ode Osbourne
SeungWoo Choi;Youssef Zalal;0;0;41 of 109;23 of 47;37%;48%;73 of 144;46 of 70;2 of 3;3 of 9;66%;33%;0;1;0;1;3:39;4:29;25 of 84;12 of 34;10 of 13;9 of 10;6 of 12;2 of 3;26 of 93;21 of 44;12 of 13;1 of 2;3 of 3;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 06, 2021;Las Vegas, Nevada, USA;Featherweight Bout;SeungWoo Choi
Molly McCann;Lara Procopio;0;0;37 of 47;36 of 58;78%;62%;71 of 83;85 of 113;0 of 0;7 of 9;---;77%;1;1;0;0;0:50;11:43;17 of 25;20 of 39;13 of 14;11 of 12;7 of 8;5 of 7;21 of 28;19 of 39;11 of 12;9 of 11;5 of 7;8 of 8;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;February 06, 2021;Las Vegas, Nevada, USA;Women's Flyweight Bout;Lara Procopio
Timur Valiev;Martin Day;0;0;55 of 76;8 of 28;72%;28%;115 of 149;24 of 46;4 of 6;0 of 0;66%;---;0;0;0;1;11:19;0:15;37 of 53;7 of 23;4 of 7;0 of 2;14 of 16;1 of 3;20 of 31;6 of 23;2 of 2;0 of 1;33 of 43;2 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;February 06, 2021;Las Vegas, Nevada, USA;Featherweight Bout;Timur Valiev
Dan Hooker;Michael Chandler;0;1;8 of 19;17 of 24;42%;70%;8 of 19;17 of 24;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:09;0 of 6;12 of 17;0 of 1;4 of 6;8 of 12;1 of 1;8 of 19;7 of 11;0 of 0;0 of 0;0 of 0;10 of 13;KO/TKO;1;2:30;3 Rnd (5-5-5);Marc Goddard;January 23, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Lightweight Bout;Michael Chandler
Andrew Sanchez;Makhmud Muradov;0;0;48 of 141;79 of 174;34%;45%;50 of 144;82 of 177;0 of 2;0 of 2;0%;0%;0;0;0;0;0:22;0:16;34 of 118;52 of 139;8 of 15;16 of 22;6 of 8;11 of 13;48 of 141;72 of 165;0 of 0;5 of 7;0 of 0;2 of 2;KO/TKO;3;2:59;3 Rnd (5-5-5);Jason Herzog;January 23, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Middleweight Bout;Makhmud Muradov
Julianna Pena;Sara McMann;0;0;38 of 76;21 of 54;50%;38%;140 of 192;28 of 63;1 of 1;3 of 3;100%;100%;1;0;0;0;2:55;7:21;27 of 65;10 of 39;11 of 11;7 of 10;0 of 0;4 of 5;20 of 57;12 of 43;10 of 10;6 of 6;8 of 9;3 of 5;Submission;3;3:39;3 Rnd (5-5-5);Keith Peterson;January 23, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Women's Bantamweight Bout;Julianna Pena
Jessica Eye;Joanne Calderwood;0;0;77 of 173;148 of 240;44%;61%;104 of 218;214 of 319;1 of 4;1 of 3;25%;33%;0;0;0;0;5:03;0:19;39 of 127;52 of 122;35 of 41;53 of 62;3 of 5;43 of 56;44 of 132;113 of 198;32 of 40;35 of 42;1 of 1;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;January 23, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Women's Flyweight Bout;Joanne Calderwood
Dustin Poirier;Conor McGregor;1;0;48 of 91;29 of 66;52%;43%;53 of 98;52 of 92;1 of 1;0 of 1;100%;0%;0;0;0;0;1:42;1:07;30 of 69;23 of 60;0 of 1;4 of 4;18 of 21;2 of 2;46 of 89;27 of 63;0 of 0;2 of 3;2 of 2;0 of 0;KO/TKO;2;2:32;5 Rnd (5-5-5-5-5);Herb Dean;January 23, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Lightweight Bout;Dustin Poirier
Brad Tavares;Antonio Carlos Junior;0;0;54 of 108;34 of 103;50%;33%;73 of 135;57 of 135;0 of 0;1 of 12;---;8%;0;0;0;0;0:05;6:28;28 of 76;24 of 93;6 of 8;2 of 2;20 of 24;8 of 8;50 of 102;33 of 100;4 of 6;1 of 3;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;January 23, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Middleweight Bout;Brad Tavares
Arman Tsarukyan;Matt Frevola;0;0;50 of 103;16 of 57;48%;28%;103 of 180;51 of 97;10 of 12;0 of 2;83%;0%;0;0;0;0;8:24;0:02;32 of 82;8 of 46;12 of 15;6 of 9;6 of 6;2 of 2;39 of 86;9 of 48;5 of 8;7 of 9;6 of 9;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Lukasz Bosacki;January 23, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Lightweight Bout;Arman Tsarukyan
Marina Rodriguez;Amanda Ribas;1;0;15 of 36;7 of 23;41%;30%;26 of 52;35 of 57;0 of 0;1 of 1;---;100%;0;0;0;0;0:07;3:39;14 of 33;4 of 19;1 of 1;2 of 2;0 of 2;1 of 2;5 of 25;3 of 16;3 of 3;1 of 1;7 of 8;3 of 6;KO/TKO;2;0:54;3 Rnd (5-5-5);Herb Dean;January 23, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Women's Strawweight Bout;Marina Rodriguez
Amir Albazi;Zhalgas Zhumagulov;0;0;68 of 169;59 of 132;40%;44%;94 of 200;74 of 150;2 of 3;1 of 3;66%;33%;0;0;0;0;3:38;0:27;40 of 128;22 of 84;15 of 24;31 of 41;13 of 17;6 of 7;64 of 163;58 of 128;2 of 3;1 of 2;2 of 3;0 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;January 23, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Flyweight Bout;Amir Albazi
Khalil Rountree Jr.;Marcin Prachnio;0;0;49 of 148;102 of 216;33%;47%;50 of 149;105 of 220;0 of 0;0 of 2;---;0%;0;0;0;0;0:00;0:05;29 of 120;33 of 131;13 of 18;29 of 39;7 of 10;40 of 46;49 of 146;100 of 211;0 of 2;2 of 5;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;January 23, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Light Heavyweight Bout;Marcin Prachnio
Nik Lentz;Movsar Evloev;0;0;46 of 127;82 of 170;36%;48%;50 of 137;137 of 235;1 of 5;2 of 2;20%;100%;2;0;1;0;1:26;4:36;24 of 100;70 of 153;15 of 20;7 of 10;7 of 7;5 of 7;41 of 120;78 of 165;5 of 7;0 of 0;0 of 0;4 of 5;Decision - Split;3;5:00;3 Rnd (5-5-5);Lukasz Bosacki;January 23, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Catch Weight Bout;Movsar Evloev
Ricky Simon;Gaetano Pirrello;0;0;17 of 32;6 of 14;53%;42%;50 of 69;10 of 18;7 of 10;0 of 0;70%;---;1;0;0;0;6:59;0:00;14 of 28;4 of 11;3 of 4;0 of 0;0 of 0;2 of 3;3 of 13;5 of 12;4 of 6;1 of 2;10 of 13;0 of 0;Submission;2;4:00;3 Rnd (5-5-5);Keith Peterson;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Bantamweight Bout;Ricky Simon
Omari Akhmedov;Tom Breese;0;0;25 of 38;1 of 4;65%;25%;73 of 91;6 of 12;2 of 5;0 of 1;40%;0%;1;3;0;1;4:34;1:00;23 of 34;0 of 2;1 of 3;1 of 2;1 of 1;0 of 0;4 of 7;1 of 4;0 of 0;0 of 0;21 of 31;0 of 0;Submission;2;1:41;3 Rnd (5-5-5);Lukasz Bosacki;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Middleweight Bout;Omari Akhmedov
Warlley Alves;Mounir Lazzez;1;0;17 of 21;2 of 2;80%;100%;24 of 30;2 of 2;1 of 1;0 of 0;100%;---;0;0;0;0;1:36;0:42;9 of 12;1 of 1;7 of 8;1 of 1;1 of 1;0 of 0;7 of 9;0 of 0;4 of 6;2 of 2;6 of 6;0 of 0;KO/TKO;1;2:35;3 Rnd (5-5-5);Herb Dean;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Welterweight Bout;Warlley Alves
Matt Schnell;Tyson Nam;0;0;85 of 214;58 of 193;39%;30%;85 of 214;58 of 193;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;69 of 195;36 of 164;10 of 12;10 of 15;6 of 7;12 of 14;83 of 212;58 of 193;2 of 2;0 of 0;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Flyweight Bout;Matt Schnell
Roxanne Modafferi;Viviane Araujo;0;0;46 of 184;86 of 198;25%;43%;49 of 193;100 of 214;0 of 5;4 of 4;0%;100%;0;1;0;0;0:39;3:06;40 of 177;79 of 187;2 of 3;5 of 8;4 of 4;2 of 3;45 of 181;85 of 192;1 of 3;1 of 2;0 of 0;0 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Women's Flyweight Bout;Viviane Araujo
Ike Villanueva;Vinicius Moreira;1;0;24 of 56;24 of 42;42%;57%;24 of 56;24 of 42;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;18 of 47;4 of 10;6 of 9;10 of 18;0 of 0;10 of 14;24 of 56;23 of 41;0 of 0;1 of 1;0 of 0;0 of 0;KO/TKO;2;0:39;3 Rnd (5-5-5);Jason Herzog;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Light Heavyweight Bout;Ike Villanueva
Michael Chiesa;Neil Magny;0;0;24 of 52;12 of 50;46%;24%;93 of 125;52 of 96;4 of 6;1 of 3;66%;33%;0;1;0;0;15:21;2:15;19 of 43;7 of 42;3 of 7;5 of 7;2 of 2;0 of 1;10 of 29;8 of 45;1 of 2;4 of 5;13 of 21;0 of 0;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Marc Goddard;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Welterweight Bout;Michael Chiesa
Lerone Murphy;Douglas Silva de Andrade;0;0;48 of 115;39 of 108;41%;36%;60 of 131;51 of 121;1 of 4;1 of 2;25%;50%;0;0;0;0;1:51;1:21;29 of 92;16 of 74;8 of 11;11 of 14;11 of 12;12 of 20;37 of 97;33 of 101;6 of 8;6 of 7;5 of 10;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Featherweight Bout;Lerone Murphy
Su Mudaerji;Zarrukh Adashev;0;0;50 of 127;28 of 123;39%;22%;50 of 127;28 of 123;0 of 0;0 of 1;---;0%;0;0;0;0;0:00;0:02;22 of 87;20 of 102;9 of 16;3 of 13;19 of 24;5 of 8;50 of 127;24 of 117;0 of 0;4 of 6;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Flyweight Bout;Su Mudaerji
Francisco Figueiredo;Jerome Rivera;0;0;29 of 53;31 of 134;54%;23%;39 of 65;85 of 199;4 of 6;0 of 5;66%;0%;0;0;0;1;7:07;1:07;11 of 28;12 of 90;7 of 11;8 of 20;11 of 14;11 of 24;20 of 40;22 of 112;4 of 4;9 of 22;5 of 9;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Flyweight Bout;Francisco Figueiredo
Mike Davis;Mason Jones;0;0;108 of 207;117 of 313;52%;37%;111 of 210;132 of 329;3 of 9;1 of 4;33%;25%;0;0;0;0;0:50;0:51;54 of 131;83 of 265;42 of 61;18 of 31;12 of 15;16 of 17;97 of 189;104 of 285;8 of 14;11 of 21;3 of 4;2 of 7;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Lightweight Bout;Mike Davis
Dalcha Lungiambula;Markus Perez;0;0;29 of 65;25 of 49;44%;51%;61 of 98;50 of 75;1 of 2;0 of 1;50%;0%;0;1;0;0;6:46;4:21;17 of 47;7 of 26;12 of 17;15 of 18;0 of 1;3 of 5;5 of 34;18 of 37;5 of 8;7 of 12;19 of 23;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Middleweight Bout;Dalcha Lungiambula
Umar Nurmagomedov;Sergey Morozov;0;0;25 of 41;7 of 30;60%;23%;32 of 48;8 of 31;5 of 11;0 of 0;45%;---;1;0;0;0;2:57;0:08;14 of 25;2 of 20;4 of 9;3 of 7;7 of 7;2 of 3;18 of 34;7 of 29;6 of 6;0 of 1;1 of 1;0 of 0;Submission;2;3:39;3 Rnd (5-5-5);Jason Herzog;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Bantamweight Bout;Umar Nurmagomedov
Victoria Leonardo;Manon Fiorot;0;0;17 of 81;53 of 100;20%;53%;18 of 82;58 of 105;0 of 1;1 of 1;0%;100%;0;0;0;0;0:02;1:25;7 of 59;31 of 72;3 of 11;14 of 19;7 of 11;8 of 9;15 of 76;42 of 82;2 of 5;10 of 15;0 of 0;1 of 3;KO/TKO;2;4:08;3 Rnd (5-5-5);Lukasz Bosacki;January 20, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Women's Flyweight Bout;Manon Fiorot
Wu Yanan;Joselyne Edwards;0;0;58 of 129;88 of 178;44%;49%;70 of 148;111 of 206;1 of 2;0 of 3;50%;0%;0;1;1;1;3:49;1:09;34 of 91;44 of 105;14 of 23;23 of 43;10 of 15;21 of 30;51 of 118;72 of 158;5 of 8;5 of 7;2 of 3;11 of 13;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;January 16, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Women's Bantamweight Bout;Joselyne Edwards
Punahele Soriano;Dusko Todorovic;2;0;30 of 66;22 of 57;45%;38%;32 of 69;23 of 59;0 of 1;0 of 0;0%;---;0;0;0;0;0:38;0:04;25 of 60;15 of 49;4 of 5;7 of 8;1 of 1;0 of 0;21 of 51;18 of 53;4 of 5;4 of 4;5 of 10;0 of 0;KO/TKO;1;4:48;3 Rnd (5-5-5);Herb Dean;January 16, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Middleweight Bout;Punahele Soriano
Carlos Felipe;Justin Tafa;0;0;77 of 142;86 of 148;54%;58%;77 of 142;109 of 171;0 of 1;0 of 2;0%;0%;0;0;0;0;0:41;1:53;46 of 103;50 of 107;28 of 36;20 of 24;3 of 3;16 of 17;64 of 128;74 of 133;13 of 14;12 of 15;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;January 16, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Heavyweight Bout;Carlos Felipe
Carlos Condit;Matt Brown;0;0;39 of 88;28 of 37;44%;75%;157 of 209;37 of 52;2 of 4;1 of 6;50%;16%;0;0;1;0;4:52;6:06;30 of 73;13 of 22;4 of 8;11 of 11;5 of 7;4 of 4;22 of 68;11 of 18;5 of 5;8 of 8;12 of 15;9 of 11;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;January 16, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Welterweight Bout;Carlos Condit
David Zawada;Ramazan Emeev;0;0;44 of 114;53 of 101;38%;52%;114 of 190;101 of 160;1 of 1;4 of 9;100%;44%;0;0;0;1;2:06;4:28;24 of 88;36 of 81;6 of 10;13 of 15;14 of 16;4 of 5;30 of 90;36 of 82;13 of 23;12 of 14;1 of 1;5 of 5;Decision - Split;3;5:00;3 Rnd (5-5-5);Jason Herzog;January 16, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Welterweight Bout;Ramazan Emeev
Joaquin Buckley;Alessio Di Chirico;0;1;3 of 22;12 of 23;13%;52%;3 of 22;12 of 23;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:01;2 of 19;6 of 17;1 of 3;4 of 4;0 of 0;2 of 2;3 of 22;9 of 20;0 of 0;0 of 0;0 of 0;3 of 3;KO/TKO;1;2:12;3 Rnd (5-5-5);Keith Peterson;January 16, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Middleweight Bout;Alessio Di Chirico
Santiago Ponzinibbio;Li Jingliang;0;1;11 of 18;21 of 50;61%;42%;11 of 18;21 of 50;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:02;7 of 14;6 of 30;0 of 0;3 of 6;4 of 4;12 of 14;11 of 18;20 of 49;0 of 0;0 of 0;0 of 0;1 of 1;KO/TKO;1;4:25;3 Rnd (5-5-5);Jason Herzog;January 16, 2021;Abu Dhabi, Abu Dhabi, United Arab Emirates;Welterweight Bout;Li Jingliang
